Textbox151,Textbox8,InventLocationId1,InventLocationName,Textbox153,Textbox45,Textbox46,Textbox47,Textbox63,Textbox48,Textbox90,Textbox104,Textbox131,CustAccount,CustName,LogisticsAddressStreet,LogisticsAddressZipCodeId,LogisticsAddressCity,LogisticsAddressCountryRegionId,SalesId,CustomerRef,CarrierName,Textbox41,Textbox70,Textbox42,Textbox43,Textbox64,Textbox118,Textbox44,Textbox123,Textbox92,Textbox128,Textbox114,Textbox133,SalesOriginId,ItemId,ItemName1,DlvDate1,SalesQty,RemainSalesPhysical,InventQtyPicked,InventQtyPickRemain,toProcessQty,InventQtyOnHand,PickingListId,ToProcess
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU3073,BSE Electrical Solutions,5A The Bowery,2540,CULBURRA BEACH,AUS,SO043978,,,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,RUN1200HSOZKIT/AU,Slide Gate Kit RUN1200HS/AU + OXIBD+2 INTI2+4 FR-SIR6MDR01,2024-03-21,1,1,0,1,0,0,,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU3073,BSE Electrical Solutions,5A The Bowery,2540,CULBURRA BEACH,AUS,SO043978,,,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,FR-SIR6MDR01,Rack 6 Down Attack SIR6MD,2024-03-21,2,2,0,2,2,154,,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU3073,BSE Electrical Solutions,5A The Bowery,2540,CULBURRA BEACH,AUS,SO043978,,,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,ES1272,Battery 12V 7.2Ah AGM,2024-03-21,2,2,0,2,2,11,,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU3073,BSE Electrical Solutions,5A The Bowery,2540,CULBURRA BEACH,AUS,SO043978,,,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,PS524,Battery backup card for battery up to 7Ah,2024-03-21,1,1,0,1,1,11,,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU3073,BSE Electrical Solutions,5A The Bowery,2540,CULBURRA BEACH,AUS,SO043978,,,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,EPMB,Pair of Photocells EPMB with Bluebus,2024-03-21,1,1,0,1,1,42,,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1230,REMOTE KING,23 CARL COURT,3803,HALLAM,AUS,SO044003,po-8000,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,INTI2Y,2 channels roll.code transmit. Yellow,2024-03-22,2,2,0,2,2,44,,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1230,REMOTE KING,23 CARL COURT,3803,HALLAM,AUS,SO044003,po-8000,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,INTI2G,2 channels roll.code transmit. Green,2024-03-22,5,5,0,5,5,59,,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1230,REMOTE KING,23 CARL COURT,3803,HALLAM,AUS,SO044003,po-8000,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,FLO2RE,2 channels roll.code transmit.,2024-03-22,5,5,0,5,5,5,,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1043,Cash Sales Nice,8 Bennet Ave,5039,Melrose Park,AUS,SO044033,FOR TESTING,Customer,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,RBA1,Inductive limit switch for sliding gates,2024-03-25,1,1,0,1,1,0,83302_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1108,Australian Auto Gates Pty Ltd,UNIT 17/1 ADEPT LANE,2200,BANKSTOWN,AUS,SO044014,Linda,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,DEVFD007EL21A,DELTA 240V 1PH/3PH 0.75KW INVERTER,2024-03-25,1,1,0,1,1,26,,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1739,P.R.King & Sons,1/11 Motto Crt,3029,HOPPERS CROSSING,AUS,SO044028,277MEL,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,WALKY1024BDKCE,Kit for Single leaf pedestrian gate to 1.8m. 24Vdc,2024-03-25,2,2,0,2,2,16,,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU2854,assa,"DOOR NO. 7 BSP (Business Segment Pedestrian)
55 Letcon Drive",3175,BANGHOLME,AUS,SO044022,296097 - Catherine Zeng,,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,PD5407A0001,ALUMINIUM SWING CAM Ø10 BORE,2024-03-25,4,4,0,4,4,589,,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU2854,assa,"DOOR NO. 7 BSP (Business Segment Pedestrian)
55 Letcon Drive",3175,BANGHOLME,AUS,SO044022,296097 - Catherine Zeng,,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,MLECA485,Magnetic Lock 485Kg Hold/Force,2024-03-25,1,1,0,1,1,2,,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU2854,assa,"DOOR NO. 7 BSP (Business Segment Pedestrian)
55 Letcon Drive",3175,BANGHOLME,AUS,SO044022,296097 - Catherine Zeng,,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,S TQDA GDS6/7,Torque Limiter Drive & Assembl,2024-03-25,1,1,0,1,0,0,,No
