Textbox151,Textbox8,InventLocationId1,InventLocationName,Textbox153,Textbox45,Textbox46,Textbox47,Textbox63,Textbox48,Textbox90,Textbox104,Textbox131,CustAccount,CustName,LogisticsAddressStreet,LogisticsAddressZipCodeId,LogisticsAddressCity,LogisticsAddressCountryRegionId,SalesId,CustomerRef,CarrierName,Textbox41,Textbox70,Textbox42,Textbox43,Textbox64,Textbox118,Textbox44,Textbox123,Textbox92,Textbox128,Textbox114,Textbox133,SalesOriginId,ItemId,ItemName1,DlvDate1,SalesQty,RemainSalesPhysical,InventQtyPicked,InventQtyPickRemain,toProcessQty,InventQtyOnHand,PickingListId,ToProcess
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1008,Alarm Services Aust Pty Ltd,14 Maluka St,7018,Bellrive,AUS,SO043894,,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,XME2124,1 x Irreversible electromechanical 24Vdc gear motor,2024-04-01,1,1,0,1,1,0,83131_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1008,Alarm Services Aust Pty Ltd,14 Maluka St,7018,Bellrive,AUS,SO043894,,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,XME2124,1 x Irreversible electromechanical 24Vdc gear motor,2024-04-01,1,1,0,1,1,0,83132_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1019,Automatic Gates & Doors Pty Ltd‬‬‬‬,2/69 Parramatta Road,4119,Underwood,AUS,SO044240,Royale Gardens,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,AMG797A00,G.A GEARBOX 4 SWING PRIMARY LV 60:1 - AGB,2024-04-15,1,1,0,1,1,2,,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1034,Brisbane Automatic Gate Systems,Unit 10 7/9 Grant Street,4163,Cleveland,AUS,SO043804,Stock,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,ON4E,"Trasm. Era One, 4 canali",2024-04-01,30,3,0,3,0,0,83120_099,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1034,Brisbane Automatic Gate Systems,Unit 10 7/9 Grant Street,4163,Cleveland,AUS,SO043836,,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,WA12R01,Mobile stand for bars - New fully reinforced version,2024-04-29,2,2,0,2,0,0,83124_099,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1034,Brisbane Automatic Gate Systems,Unit 10 7/9 Grant Street,4163,Cleveland,AUS,SO044181,Stock,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,SPRBA3R10,"REPLACEMENT CONTROL BOARD FOR ROBUS 400/600/1000, RUN1500 **",2024-04-09,3,1,0,1,0,0,83659_099,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1050,Create Security,"Unit 1, 237 Fleming Road",4174,Hemmant,AUS,SO043557,P1495,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,CRE 630P3DR-AGB,"630P .75kw 2 Pole Cab SS 3Dr-AGB
",2024-05-17,1,1,0,1,0,0,,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1050,Create Security,"Unit 1, 237 Fleming Road",4174,Hemmant,AUS,SO043557,P1495,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,CRE 630P3DR-AGB,"630P .75kw 2 Pole Cab SS 3Dr-AGB
",2024-05-17,1,1,0,1,0,0,,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1050,Create Security,"Unit 1, 237 Fleming Road",4174,Hemmant,AUS,SO044241,BRISTOCK512,TNT,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,OX2,Prewired receiver 433.92 MHz 2 channels,2024-04-15,5,5,0,5,5,19,83734_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1072,GATE AUOTMATION SYSTEMS,3 KEITH CAMPBELL COURT,3179,SCORESBY,AUS,SO043846,20178048,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,ON4E,"Trasm. Era One, 4 canali",2024-05-01,6,6,0,6,0,0,83126_099,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1094,Juralco Aluminium Building Products Ltd,48 Bruce McLaren Road,612,Henderson,NZL,SO042931,269365,Sea Freight,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,3.01206E+11,Exterior bidirectional interface for tubular motor,2024-04-01,100,100,0,100,0,0,83081_099,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1094,Juralco Aluminium Building Products Ltd,48 Bruce McLaren Road,612,Henderson,NZL,SO042931,269365,Sea Freight,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,P18,Trasm. Era P 18,2024-04-01,10,10,0,10,10,0,83082_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1094,Juralco Aluminium Building Products Ltd,48 Bruce McLaren Road,612,Henderson,NZL,SO043131,269466,DHL,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,ERL10000000,Era L 100Nm 12rpm 230/50 2.5m Pack1,2024-04-01,5,2,0,2,2,0,83084_099,Yes
